seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9408,b,2,Optimization only,0.18082047490711245,l2_error,0.8,5.3843464363939065e-06,
9408,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9408,b,4,Central DP,0.6030584503141739,l2_error,0.8,5.3843464363939065e-06,
9408,b,4,Optimization only,0.03430890714741817,l2_error,0.8,5.3843464363939065e-06,
9408,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9408,b,8,Central DP,0.7866715485271639,l2_error,0.8,5.3843464363939065e-06,
9408,b,8,Optimization only,0.006706638874986791,l2_error,0.8,5.3843464363939065e-06,
9408,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9408,b,16,Central DP,1.0016585110692002,l2_error,0.8,5.3843464363939065e-06,
9408,b,16,Optimization only,0.006707698957018866,l2_error,0.8,5.3843464363939065e-06,
9408,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9408,b,32,Central DP,1.2040533503413775,l2_error,0.8,5.3843464363939065e-06,
9408,b,32,Optimization only,0.006707703196447666,l2_error,0.8,5.3843464363939065e-06,
9408,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9409,c,1,One-shot corrected LDP,0.2212558425752782,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,1,Optimization only,0.0025155296550671714,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,2,One-shot corrected LDP,0.11407693130872447,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,2,Optimization only,0.00010956895639170823,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,4,One-shot corrected LDP,0.10387196242034598,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,4,Optimization only,0.00010449825012922701,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,8,One-shot corrected LDP,0.10354481081423425,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,8,Optimization only,0.00010449822169808315,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,16,One-shot corrected LDP,0.10354449511815103,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,16,Optimization only,0.00010449822169808315,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,32,One-shot corrected LDP,0.10354449511785765,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,c,32,Optimization only,0.00010449822169808315,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9409,b,1,Central DP,0.5385527559297554,l2_error,0.8,5.3843464363939065e-06,
9409,b,1,Optimization only,0.4201197741050096,l2_error,0.8,5.3843464363939065e-06,
9409,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9409,b,2,Central DP,0.5031690104157487,l2_error,0.8,5.3843464363939065e-06,
9409,b,2,Optimization only,0.1819196763803047,l2_error,0.8,5.3843464363939065e-06,
9409,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9409,b,4,Central DP,0.7374406528395987,l2_error,0.8,5.3843464363939065e-06,
9409,b,4,Optimization only,0.035615334141382085,l2_error,0.8,5.3843464363939065e-06,
9409,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9409,b,8,Central DP,0.7825948819898314,l2_error,0.8,5.3843464363939065e-06,
9409,b,8,Optimization only,0.0075846842905936,l2_error,0.8,5.3843464363939065e-06,
9409,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9409,b,16,Central DP,0.8336378173931869,l2_error,0.8,5.3843464363939065e-06,
9409,b,16,Optimization only,0.007517046402457708,l2_error,0.8,5.3843464363939065e-06,
9409,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
