seed,n,p,s_star,epsilon,delta,grad_sd,sensitivity_l2,ratio_prediction,method,l2_error,support
8503,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Zero estimator,1.0000000256256774,0
8503,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Thresholded Central-DP Lasso (ours),0.8871992510281013,20
8503,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Cai et al. DP-IHT,1.1068056054362476,20
8503,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Non-private,0.11206952066141124,8
8503,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Zero estimator,1.0000000131924014,0
8503,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Thresholded Central-DP Lasso (ours),0.8464396851279558,40
8503,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Cai et al. DP-IHT,1.2759834919403932,40
8503,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Non-private,0.11477333318555141,8
8503,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Zero estimator,1.0000000728062663,0
8503,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.3665100148150659,5
8503,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Cai et al. DP-IHT,0.27169649993934114,5
8503,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Non-private,0.0415871267311552,5
8503,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8503,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.35307008751131486,10
8503,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Cai et al. DP-IHT,0.6613810549832974,10
8503,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Non-private,0.0697073832486922,10
8503,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8503,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.48186459845099994,20
8503,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Cai et al. DP-IHT,0.964537256367058,20
8503,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Non-private,0.08957108461402517,10
8503,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Zero estimator,1.0000000131924012,0
8503,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.5265397479981959,40
8503,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Cai et al. DP-IHT,1.41549758682609,40
8503,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Non-private,0.09636138229123119,9
8503,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Zero estimator,0.9999999938090877,0
8503,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.13243227649487638,5
8503,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Cai et al. DP-IHT,0.28714215206876004,5
8503,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Non-private,0.027666194597878235,5
8503,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8503,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.15005606941711416,10
8503,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Cai et al. DP-IHT,0.26397753035756366,10
8503,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Non-private,0.046139312317807116,10
8503,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8503,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.2520282612593735,20
8503,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Cai et al. DP-IHT,0.6499508513194776,20
8503,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Non-private,0.06695176205399678,14
8503,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Zero estimator,1.0000000131924012,0
8503,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.29290449414251746,40
8503,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Cai et al. DP-IHT,1.0708380782827702,40
8503,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Non-private,0.07345285270854413,13
8503,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Zero estimator,0.9999999938090876,0
8504,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Thresholded Central-DP Lasso (ours),0.5477481540778749,5
8504,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Cai et al. DP-IHT,0.7538729391442975,5
8504,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Non-private,0.06020293763341281,5
8504,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Zero estimator,0.9999999544965793,0
8504,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Thresholded Central-DP Lasso (ours),0.6861724212950645,10
8504,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Cai et al. DP-IHT,0.8588542096932202,10
8504,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Non-private,0.09336656038555398,8
8504,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Zero estimator,1.0000000256256774,0
8504,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Thresholded Central-DP Lasso (ours),0.8139363254790277,20
8504,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Cai et al. DP-IHT,1.3329287884933834,20
8504,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Non-private,0.11028033131582676,9
8504,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Zero estimator,1.0000000131924012,0
8504,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Thresholded Central-DP Lasso (ours),0.8845884398853188,40
8504,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Cai et al. DP-IHT,1.2705668317903407,40
8504,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Non-private,0.11353245234957807,9
8504,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Zero estimator,0.9999999938090877,0
8504,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.16562267399831926,5
8504,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Cai et al. DP-IHT,0.47121775982635455,5
8504,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Non-private,0.04193643214575771,5
8504,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8504,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.36610497868676406,10
8504,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Cai et al. DP-IHT,0.7294805032569892,10
8504,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Non-private,0.07085478825906076,10
8504,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8504,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.41388107799615365,20
8504,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Cai et al. DP-IHT,0.9281634170839781,20
8504,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Non-private,0.08941809573831336,11
8504,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Zero estimator,1.0000000131924012,0
8504,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.47274638086986165,40
8504,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Cai et al. DP-IHT,1.4602014184888439,40
8504,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Non-private,0.09142618246853206,10
8504,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Zero estimator,0.9999999938090877,0
8504,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.1325290057822105,5
8504,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Cai et al. DP-IHT,0.17894908516148597,5
8504,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Non-private,0.03124017419739492,5
8504,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8504,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.1873824363831836,10
8504,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Cai et al. DP-IHT,0.3761711859456252,10
8504,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Non-private,0.04812567635748841,10
8504,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8504,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.24802525692752184,20
8504,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Cai et al. DP-IHT,0.7621542189306768,20
8504,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Non-private,0.06945133190702188,12
8504,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Zero estimator,1.0000000131924012,0
8504,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.2589732101027794,40
8504,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Cai et al. DP-IHT,0.7110061030367453,40
8504,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Non-private,0.07142084240735853,13
8504,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Zero estimator,0.9999999938090876,0
8505,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Thresholded Central-DP Lasso (ours),0.6680596844306087,5
8505,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Cai et al. DP-IHT,0.600435243953995,5
