seed,n,p,s_star,epsilon,delta,setting,noise_scale,coef,smoothness,sigma,label_bound,clip_rate,published_sigma,method,multiplier,l2_error,support
6303,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.679137706756592,10.01427957312695,1.615,0.2655,28.150582245874634,Label-LDP Lasso (ours),0.75,0.5460641980171204,19
6303,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.636616230010986,10.01427957312695,1.615,0.0308125,28.150582245874634,Non-private,,0.06087963655591011,5
6303,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.636616230010986,10.01427957312695,1.615,0.0308125,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.6991642713546753,5
6303,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.636616230010986,10.01427957312695,1.615,0.0308125,28.150582245874634,Zero estimator,,0.9999999403953552,0
6303,16000,32000,5,0.95,0.00023739306029136662,rademacher,0.05,decay,5.636616230010986,10.01427957312695,1.615,0.0308125,28.150582245874634,Label-LDP Lasso (ours),0.75,0.4818527102470398,20
6304,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.678890228271484,7.842271706420105,1.615,0.262,24.102237481813713,Non-private,,0.11110220849514008,16
6304,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.678890228271484,7.842271706420105,1.615,0.262,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.024695873260498,5
6304,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.678890228271484,7.842271706420105,1.615,0.262,24.102237481813713,Zero estimator,,0.9999999403953552,0
6304,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.678890228271484,7.842271706420105,1.615,0.262,24.102237481813713,Label-LDP Lasso (ours),0.75,0.8205404877662659,15
6304,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.652433395385742,7.842271706420105,1.615,0.2655,24.102237481813713,Non-private,,0.15767598152160645,13
6304,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.652433395385742,7.842271706420105,1.615,0.2655,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.04010808467865,5
6304,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.652433395385742,7.842271706420105,1.615,0.2655,24.102237481813713,Zero estimator,,0.9999999403953552,0
6304,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.652433395385742,7.842271706420105,1.615,0.2655,24.102237481813713,Label-LDP Lasso (ours),0.75,0.8661262392997742,13
6304,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.699957847595215,7.842271706420105,1.615,0.031,24.102237481813713,Non-private,,0.14708003401756287,5
6304,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.699957847595215,7.842271706420105,1.615,0.031,24.102237481813713,Wang-Xu Label-LDP-IHT,,0.8637497425079346,5
6304,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.699957847595215,7.842271706420105,1.615,0.031,24.102237481813713,Zero estimator,,0.9999999403953552,0
6304,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.699957847595215,7.842271706420105,1.615,0.031,24.102237481813713,Label-LDP Lasso (ours),0.75,0.5301459431648254,8
6304,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.660982608795166,8.597906550714795,1.615,0.2625,25.52313319351188,Non-private,,0.12964046001434326,19
6304,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.660982608795166,8.597906550714795,1.615,0.2625,25.52313319351188,Wang-Xu Label-LDP-IHT,,1.4081188440322876,5
6304,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.660982608795166,8.597906550714795,1.615,0.2625,25.52313319351188,Zero estimator,,0.9999999403953552,0
6304,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.660982608795166,8.597906550714795,1.615,0.2625,25.52313319351188,Label-LDP Lasso (ours),0.75,1.0016449689865112,5
6304,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683134078979492,8.597906550714795,1.615,0.26025,25.52313319351188,Non-private,,0.12244310975074768,19
6304,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683134078979492,8.597906550714795,1.615,0.26025,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.8534513711929321,5
6304,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683134078979492,8.597906550714795,1.615,0.26025,25.52313319351188,Zero estimator,,0.9999999403953552,0
6304,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683134078979492,8.597906550714795,1.615,0.26025,25.52313319351188,Label-LDP Lasso (ours),0.75,0.590723991394043,13
6304,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.629927635192871,8.597906550714795,1.615,0.02925,25.52313319351188,Non-private,,0.11178572475910187,5
6304,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.629927635192871,8.597906550714795,1.615,0.02925,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.9141160845756531,5
6304,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.629927635192871,8.597906550714795,1.615,0.02925,25.52313319351188,Zero estimator,,0.9999999403953552,0
6304,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.629927635192871,8.597906550714795,1.615,0.02925,25.52313319351188,Label-LDP Lasso (ours),0.75,0.659358561038971,9
6304,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.664931774139404,9.32103373539826,1.615,0.257625,26.868993364057204,Non-private,,0.08115413039922714,19
6304,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.664931774139404,9.32103373539826,1.615,0.257625,26.868993364057204,Wang-Xu Label-LDP-IHT,,0.890514075756073,5
6304,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.664931774139404,9.32103373539826,1.615,0.257625,26.868993364057204,Zero estimator,,0.9999999403953552,0
6304,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.664931774139404,9.32103373539826,1.615,0.257625,26.868993364057204,Label-LDP Lasso (ours),0.75,0.6945192217826843,20
6304,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.671904563903809,9.32103373539826,1.615,0.256125,26.868993364057204,Non-private,,0.10839985311031342,16
6304,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.671904563903809,9.32103373539826,1.615,0.256125,26.868993364057204,Wang-Xu Label-LDP-IHT,,0.8999640345573425,5
6304,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.671904563903809,9.32103373539826,1.615,0.256125,26.868993364057204,Zero estimator,,0.9999999403953552,0
6304,8000,16000,5,0.95,0.0005088631644211301,bounded_uniform,1.0,decay,5.671904563903809,9.32103373539826,1.615,0.256125,26.868993364057204,Label-LDP Lasso (ours),0.75,0.7091524004936218,22
6304,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.636931896209717,9.32103373539826,1.615,0.035,26.868993364057204,Non-private,,0.0815810039639473,5
6304,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.636931896209717,9.32103373539826,1.615,0.035,26.868993364057204,Wang-Xu Label-LDP-IHT,,0.7279604077339172,5
6304,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.636931896209717,9.32103373539826,1.615,0.035,26.868993364057204,Zero estimator,,0.9999999403953552,0
6304,8000,16000,5,0.95,0.0005088631644211301,rademacher,0.05,decay,5.636931896209717,9.32103373539826,1.615,0.035,26.868993364057204,Label-LDP Lasso (ours),0.75,0.4824541211128235,10
6304,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.611440658569336,10.01427957312695,1.615,0.2529375,28.150582245874634,Non-private,,0.06410219520330429,21
6304,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.611440658569336,10.01427957312695,1.615,0.2529375,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.786808431148529,5
6304,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.611440658569336,10.01427957312695,1.615,0.2529375,28.150582245874634,Zero estimator,,0.9999999403953552,0
6304,16000,32000,5,0.95,0.00023739306029136662,gaussian,1.0,decay,5.611440658569336,10.01427957312695,1.615,0.2529375,28.150582245874634,Label-LDP Lasso (ours),0.75,0.6757400631904602,26
6304,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.6288652420043945,10.01427957312695,1.615,0.2581875,28.150582245874634,Non-private,,0.07859202474355698,28
6304,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.6288652420043945,10.01427957312695,1.615,0.2581875,28.150582245874634,Wang-Xu Label-LDP-IHT,,0.8178554773330688,5
6304,16000,32000,5,0.95,0.00023739306029136662,bounded_uniform,1.0,decay,5.6288652420043945,10.01427957312695,1.615,0.2581875,28.150582245874634,Zero estimator,,0.9999999403953552,0
