seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9402,c,4,Optimization only,0.0002879166401760544,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,8,One-shot corrected LDP,0.28000848387104665,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,8,Optimization only,0.0002879168092764527,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,16,One-shot corrected LDP,0.28010912754603456,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,16,Optimization only,0.0002879168092764527,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,32,One-shot corrected LDP,0.280109150765855,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,32,Optimization only,0.0002879168092764527,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,b,1,Central DP,0.5271240286726883,l2_error,0.8,5.3843464363939065e-06,
9402,b,1,Optimization only,0.41852939165199426,l2_error,0.8,5.3843464363939065e-06,
9402,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9402,b,2,Central DP,0.5874500472999186,l2_error,0.8,5.3843464363939065e-06,
9402,b,2,Optimization only,0.1802692689655322,l2_error,0.8,5.3843464363939065e-06,
9402,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9402,b,4,Central DP,0.627730982620214,l2_error,0.8,5.3843464363939065e-06,
9402,b,4,Optimization only,0.03446700025022518,l2_error,0.8,5.3843464363939065e-06,
9402,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9402,b,8,Central DP,0.7521476640185845,l2_error,0.8,5.3843464363939065e-06,
9402,b,8,Optimization only,0.0063187882109657844,l2_error,0.8,5.3843464363939065e-06,
9402,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9402,b,16,Central DP,1.0148601259441914,l2_error,0.8,5.3843464363939065e-06,
9402,b,16,Optimization only,0.006223077678504102,l2_error,0.8,5.3843464363939065e-06,
9402,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9402,b,32,Central DP,1.2826070413688508,l2_error,0.8,5.3843464363939065e-06,
9402,b,32,Optimization only,0.006223076109902219,l2_error,0.8,5.3843464363939065e-06,
9402,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9403,c,1,One-shot corrected LDP,0.1945101131725794,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,1,Optimization only,0.004255693922209793,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,2,One-shot corrected LDP,0.1268433817575987,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,2,Optimization only,0.00014898579560682074,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,4,One-shot corrected LDP,0.11506254008497183,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,4,Optimization only,0.00013230477794318844,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,8,One-shot corrected LDP,0.11490181690330495,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,8,Optimization only,0.00013230428208797372,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,16,One-shot corrected LDP,0.11490178799090582,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,16,Optimization only,0.00013230428208797353,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9403,c,32,One-shot corrected LDP,0.11490178799090489,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
